plot_name,accession_name,intercrop_accession_name
CU_2025_Ithaca_WOP_PLOT_101,NC20-4526,BLAZE
CU_2025_Ithaca_WOP_PLOT_102,NC20-4526,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_103,NC21-6610,BLAZE
CU_2025_Ithaca_WOP_PLOT_104,NC21-6610,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_105,PI365619,BLAZE
CU_2025_Ithaca_WOP_PLOT_106,OZARK|POGI,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_107,OZARK|POGI,BLAZE
CU_2025_Ithaca_WOP_PLOT_108,Gerard 227,BLAZE
CU_2025_Ithaca_WOP_PLOT_109,Gerard 227,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_110,NC21-6492,BLAZE
CU_2025_Ithaca_WOP_PLOT_111,NC21-6492,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_112,AVE265_59,BLAZE
CU_2025_Ithaca_WOP_PLOT_113,NF99414-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_114,NF99414-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_115,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_116,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_117,NC20-4702,BLAZE
CU_2025_Ithaca_WOP_PLOT_118,NC20-4702,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_119,CAV2980,BLAZE
CU_2025_Ithaca_WOP_PLOT_120,FLLA17069-54,BLAZE
CU_2025_Ithaca_WOP_PLOT_121,FLLA17069-54,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_122,OKAY,BLAZE
CU_2025_Ithaca_WOP_PLOT_123,OKAY,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_124,SCLA17031SBSS-4-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_125,SCLA17031SBSS-4-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_126,GERARD224,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_127,GERARD224,BLAZE
CU_2025_Ithaca_WOP_PLOT_128,NF12AS-100-4_2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_129,NF12AS-100-4_2,BLAZE
CU_2025_Ithaca_WOP_PLOT_130,TX18OCS9125,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_131,TX18OCS9125,BLAZE
CU_2025_Ithaca_WOP_PLOT_132,NC21-6511,BLAZE
CU_2025_Ithaca_WOP_PLOT_133,NC21-6511,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_134,TX18OCS9104,BLAZE
CU_2025_Ithaca_WOP_PLOT_135,TX18OCS9104,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_136,NF18,BLAZE
CU_2025_Ithaca_WOP_PLOT_137,NF18,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_138,TX18OCS9100,BLAZE
CU_2025_Ithaca_WOP_PLOT_139,TX18OCS9100,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_140,KARCAGI,BLAZE
CU_2025_Ithaca_WOP_PLOT_141,NC20-4551,BLAZE
CU_2025_Ithaca_WOP_PLOT_142,NC20-4551,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_201,OZARK|POGI,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_202,OZARK|POGI,BLAZE
CU_2025_Ithaca_WOP_PLOT_203,NF99401_1-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_204,NF99401_1-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_205,LA17089SBS-45-1-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_206,LA17089SBS-45-1-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_207,SA21,BLAZE
CU_2025_Ithaca_WOP_PLOT_208,PI365616,BLAZE
CU_2025_Ithaca_WOP_PLOT_209,NF12AS-73-4_3,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_210,NF12AS-73-4_3,BLAZE
CU_2025_Ithaca_WOP_PLOT_211,NF13-4124-4_3,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_212,NF13-4124-4_3,BLAZE
CU_2025_Ithaca_WOP_PLOT_213,NC21-6576,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_214,NC21-6576,BLAZE
CU_2025_Ithaca_WOP_PLOT_215,NC20-4795,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_216,NC20-4795,BLAZE
CU_2025_Ithaca_WOP_PLOT_217,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_218,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_219,TX19CAS0058,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_220,TX19CAS0058,BLAZE
CU_2025_Ithaca_WOP_PLOT_221,AVE265_59,BLAZE
CU_2025_Ithaca_WOP_PLOT_222,NC21-6429,BLAZE
CU_2025_Ithaca_WOP_PLOT_223,NC21-6429,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_224,LA17153SBSS-55-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_225,LA17153SBSS-55-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_226,NF13-4173-4_4,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_227,NF13-4173-4_4,BLAZE
CU_2025_Ithaca_WOP_PLOT_228,NF13-4214-4_5,BLAZE
CU_2025_Ithaca_WOP_PLOT_229,NF13-4214-4_5,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_230,NF12AS-108-4_4,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_231,NF12AS-108-4_4,BLAZE
CU_2025_Ithaca_WOP_PLOT_232,NORA,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_233,NORA,BLAZE
CU_2025_Ithaca_WOP_PLOT_234,BLACK_MESDAG|PI93284,BLAZE
CU_2025_Ithaca_WOP_PLOT_235,NF13-4173-4_5,BLAZE
CU_2025_Ithaca_WOP_PLOT_236,NF13-4173-4_5,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_237,FLLA17069-54,BLAZE
CU_2025_Ithaca_WOP_PLOT_238,FLLA17069-54,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_239,NF502_5,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_240,NF502_5,BLAZE
CU_2025_Ithaca_WOP_PLOT_241,NF12AS-107-4_2-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_242,NF12AS-107-4_2-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_301,PA7617-3658,BLAZE
CU_2025_Ithaca_WOP_PLOT_302,PA7617-3658,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_303,KARCAGI,BLAZE
CU_2025_Ithaca_WOP_PLOT_304,LA17089SBS-45-1-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_305,LA17089SBS-45-1-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_306,Horizon 578,BLAZE
CU_2025_Ithaca_WOP_PLOT_307,Horizon 578,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_308,NC21-6609,BLAZE
CU_2025_Ithaca_WOP_PLOT_309,NC21-6609,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_310,LA99016,BLAZE
CU_2025_Ithaca_WOP_PLOT_311,LA99016,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_312,NC19-3542,BLAZE
CU_2025_Ithaca_WOP_PLOT_313,NC19-3542,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_314,PA7617-3460,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_315,PA7617-3460,BLAZE
CU_2025_Ithaca_WOP_PLOT_316,SCLA17080SBS-4-2,BLAZE
CU_2025_Ithaca_WOP_PLOT_317,SCLA17080SBS-4-2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_318,TX19CAS0058,BLAZE
CU_2025_Ithaca_WOP_PLOT_319,TX19CAS0058,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_320,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_321,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_322,28C2,BLAZE
CU_2025_Ithaca_WOP_PLOT_323,CAV3163,BLAZE
CU_2025_Ithaca_WOP_PLOT_324,Juggernaut,BLAZE
CU_2025_Ithaca_WOP_PLOT_325,Juggernaut,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_326,SCLA17031SBSS-4-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_327,SCLA17031SBSS-4-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_328,NF00407,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_329,NF00407,BLAZE
CU_2025_Ithaca_WOP_PLOT_330,HARRISON,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_331,HARRISON,BLAZE
CU_2025_Ithaca_WOP_PLOT_332,NF13-4214-4_1,BLAZE
CU_2025_Ithaca_WOP_PLOT_333,NF13-4214-4_1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_334,NF05424_2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_335,NF05424_2,BLAZE
CU_2025_Ithaca_WOP_PLOT_336,TX18OCS9100,BLAZE
CU_2025_Ithaca_WOP_PLOT_337,TX18OCS9100,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_338,NC20-4702,BLAZE
CU_2025_Ithaca_WOP_PLOT_339,NC20-4702,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_340,PI344827,BLAZE
CU_2025_Ithaca_WOP_PLOT_341,NC20-4795,BLAZE
CU_2025_Ithaca_WOP_PLOT_342,NC20-4795,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_401,PI365621,BLAZE
CU_2025_Ithaca_WOP_PLOT_402,BLACK_MESDAG|PI93284,BLAZE
CU_2025_Ithaca_WOP_PLOT_403,NF12AS-107-4_4,BLAZE
CU_2025_Ithaca_WOP_PLOT_404,NF12AS-107-4_4,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_405,NF502_5,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_406,NF502_5,BLAZE
CU_2025_Ithaca_WOP_PLOT_407,LA17069SBSS-2-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_408,LA17069SBSS-2-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_409,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_410,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_411,NF12AS-108-4_4,BLAZE
CU_2025_Ithaca_WOP_PLOT_412,NF12AS-108-4_4,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_413,28C2,BLAZE
CU_2025_Ithaca_WOP_PLOT_414,NF13-4157-4_2,BLAZE
CU_2025_Ithaca_WOP_PLOT_415,NF13-4157-4_2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_416,NF13-4126-4_3,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_417,NF13-4126-4_3,BLAZE
CU_2025_Ithaca_WOP_PLOT_418,NF01404A,BLAZE
CU_2025_Ithaca_WOP_PLOT_419,NF01404A,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_420,PI365622,BLAZE
CU_2025_Ithaca_WOP_PLOT_421,NC21-6492,BLAZE
CU_2025_Ithaca_WOP_PLOT_422,NC21-6492,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_423,NC20-4700,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_424,NC20-4700,BLAZE
CU_2025_Ithaca_WOP_PLOT_425,HARRISON,BLAZE
CU_2025_Ithaca_WOP_PLOT_426,HARRISON,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_427,NF97405B2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_428,NF97405B2,BLAZE
CU_2025_Ithaca_WOP_PLOT_429,TX18OCS9104,BLAZE
CU_2025_Ithaca_WOP_PLOT_430,TX18OCS9104,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_431,NF01401B,BLAZE
CU_2025_Ithaca_WOP_PLOT_432,NF01401B,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_433,NC19-3542,BLAZE
CU_2025_Ithaca_WOP_PLOT_434,NC19-3542,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_435,FLLA17088-61,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_436,FLLA17088-61,BLAZE
CU_2025_Ithaca_WOP_PLOT_437,Gerard 227,BLAZE
CU_2025_Ithaca_WOP_PLOT_438,Gerard 227,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_439,NF13-4173-4_4,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_440,NF13-4173-4_4,BLAZE
CU_2025_Ithaca_WOP_PLOT_441,NC20-4402,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_442,NC20-4402,BLAZE
CU_2025_Ithaca_WOP_PLOT_501,NC21-6511,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_502,NC21-6511,BLAZE
CU_2025_Ithaca_WOP_PLOT_503,NC17-6440,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_504,NC17-6440,BLAZE
CU_2025_Ithaca_WOP_PLOT_505,LA17153SBSS-46-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_506,LA17153SBSS-46-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_507,NC21-6502,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_508,NC21-6502,BLAZE
CU_2025_Ithaca_WOP_PLOT_509,NF12AS-108-4_1,BLAZE
CU_2025_Ithaca_WOP_PLOT_510,NF12AS-108-4_1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_511,CAV3088,BLAZE
CU_2025_Ithaca_WOP_PLOT_512,NF97405-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_513,NF97405-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_514,RADNORSHIRE_SPRIG|CIAV3219,BLAZE
CU_2025_Ithaca_WOP_PLOT_515,NF12AS-73-4_3,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_516,NF12AS-73-4_3,BLAZE
CU_2025_Ithaca_WOP_PLOT_517,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_518,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_519,NC20-4700,BLAZE
CU_2025_Ithaca_WOP_PLOT_520,NC20-4700,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_521,NF12AS-107-4_4,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_522,NF12AS-107-4_4,BLAZE
CU_2025_Ithaca_WOP_PLOT_523,NC20-4452,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_524,NC20-4452,BLAZE
CU_2025_Ithaca_WOP_PLOT_525,NF18,BLAZE
CU_2025_Ithaca_WOP_PLOT_526,NF18,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_527,PI365622,BLAZE
CU_2025_Ithaca_WOP_PLOT_528,NC21-6610,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_529,NC21-6610,BLAZE
CU_2025_Ithaca_WOP_PLOT_530,CAV2980,BLAZE
CU_2025_Ithaca_WOP_PLOT_531,Horizon 578,BLAZE
CU_2025_Ithaca_WOP_PLOT_532,Horizon 578,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_533,NF13-4214-4_5,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_534,NF13-4214-4_5,BLAZE
CU_2025_Ithaca_WOP_PLOT_535,NF13-4214-4_1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_536,NF13-4214-4_1,BLAZE
CU_2025_Ithaca_WOP_PLOT_537,NC21-6429,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_538,NC21-6429,BLAZE
CU_2025_Ithaca_WOP_PLOT_539,FLLA11019-8,BLAZE
CU_2025_Ithaca_WOP_PLOT_540,FLLA11019-8,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_541,NF99414,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_542,NF99414,BLAZE
CU_2025_Ithaca_WOP_PLOT_601,HORIZON201,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_602,HORIZON201,BLAZE
CU_2025_Ithaca_WOP_PLOT_603,FLLA11019-8,BLAZE
CU_2025_Ithaca_WOP_PLOT_604,FLLA11019-8,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_605,NORA,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_606,NORA,BLAZE
CU_2025_Ithaca_WOP_PLOT_607,PA7617-3658,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_608,PA7617-3658,BLAZE
CU_2025_Ithaca_WOP_PLOT_609,TX18OCS9125,BLAZE
CU_2025_Ithaca_WOP_PLOT_610,TX18OCS9125,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_611,NF00407,BLAZE
CU_2025_Ithaca_WOP_PLOT_612,NF00407,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_613,LA17069SBSS-2-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_614,LA17069SBSS-2-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_615,LA17153SBSS-46-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_616,LA17153SBSS-46-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_617,LA17129SBSS-8-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_618,LA17129SBSS-8-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_619,NF12AS-100-4_2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_620,NF12AS-100-4_2,BLAZE
CU_2025_Ithaca_WOP_PLOT_621,DOMACA_ZOB,BLAZE
CU_2025_Ithaca_WOP_PLOT_622,PI365615,BLAZE
CU_2025_Ithaca_WOP_PLOT_623,FLLA17088-61,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_624,FLLA17088-61,BLAZE
CU_2025_Ithaca_WOP_PLOT_625,PI365619,BLAZE
CU_2025_Ithaca_WOP_PLOT_626,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_627,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_628,NF01401B,BLAZE
CU_2025_Ithaca_WOP_PLOT_629,NF01401B,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_630,NF13-4173-4_5,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_631,NF13-4173-4_5,BLAZE
CU_2025_Ithaca_WOP_PLOT_632,PI365621,BLAZE
CU_2025_Ithaca_WOP_PLOT_633,NF05424_2,BLAZE
CU_2025_Ithaca_WOP_PLOT_634,NF05424_2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_635,NF13-4083-4_6,BLAZE
CU_2025_Ithaca_WOP_PLOT_636,NF13-4083-4_6,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_637,NF12AS-91-4_1,BLAZE
CU_2025_Ithaca_WOP_PLOT_638,NF12AS-91-4_1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_639,FLLA17088-77,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_640,FLLA17088-77,BLAZE
CU_2025_Ithaca_WOP_PLOT_641,NC21-6502,BLAZE
CU_2025_Ithaca_WOP_PLOT_642,NC21-6502,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_701,PA7617-3460,BLAZE
CU_2025_Ithaca_WOP_PLOT_702,PA7617-3460,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_703,NF99414-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_704,NF99414-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_705,NF13-4126-4_3,BLAZE
CU_2025_Ithaca_WOP_PLOT_706,NF13-4126-4_3,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_707,Juggernaut,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_708,Juggernaut,BLAZE
CU_2025_Ithaca_WOP_PLOT_709,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_710,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_711,NF12AS-107-4_2-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_712,NF12AS-107-4_2-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_713,OKAY,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_714,OKAY,BLAZE
CU_2025_Ithaca_WOP_PLOT_715,NF13-4083-4_6,BLAZE
CU_2025_Ithaca_WOP_PLOT_716,NF13-4083-4_6,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_717,SCLA17080SBS-4-2,BLAZE
CU_2025_Ithaca_WOP_PLOT_718,SCLA17080SBS-4-2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_719,NC21-6497,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_720,NC21-6497,BLAZE
CU_2025_Ithaca_WOP_PLOT_721,PI344827,BLAZE
CU_2025_Ithaca_WOP_PLOT_722,NF99414,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_723,NF99414,BLAZE
CU_2025_Ithaca_WOP_PLOT_724,NF12AS-108-4_1,BLAZE
CU_2025_Ithaca_WOP_PLOT_725,NF12AS-108-4_1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_726,HORIZON201,BLAZE
CU_2025_Ithaca_WOP_PLOT_727,HORIZON201,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_728,NF01404A,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_729,NF01404A,BLAZE
CU_2025_Ithaca_WOP_PLOT_730,NC21-6576,BLAZE
CU_2025_Ithaca_WOP_PLOT_731,NC21-6576,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_732,DOMACA_ZOB,BLAZE
CU_2025_Ithaca_WOP_PLOT_733,NF12AS-122-4_4,BLAZE
CU_2025_Ithaca_WOP_PLOT_734,NF12AS-122-4_4,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_735,NF97405B2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_736,NF97405B2,BLAZE
CU_2025_Ithaca_WOP_PLOT_737,AURORA,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_738,AURORA,BLAZE
CU_2025_Ithaca_WOP_PLOT_739,NC20-4452,BLAZE
CU_2025_Ithaca_WOP_PLOT_740,NC20-4452,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_741,PI365616,BLAZE
CU_2025_Ithaca_WOP_PLOT_742,CAV3088,BLAZE
CU_2025_Ithaca_WOP_PLOT_801,NF13-4157-4_2,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_802,NF13-4157-4_2,BLAZE
CU_2025_Ithaca_WOP_PLOT_803,LA99016,BLAZE
CU_2025_Ithaca_WOP_PLOT_804,LA99016,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_805,FLLA17088-77,BLAZE
CU_2025_Ithaca_WOP_PLOT_806,FLLA17088-77,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_807,LA17153SBSS-55-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_808,LA17153SBSS-55-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_809,NF12AS-122-4_4,BLAZE
CU_2025_Ithaca_WOP_PLOT_810,NF12AS-122-4_4,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_811,RADNORSHIRE_SPRIG|CIAV3219,BLAZE
CU_2025_Ithaca_WOP_PLOT_812,NF97405-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_813,NF97405-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_814,NC17-6440,BLAZE
CU_2025_Ithaca_WOP_PLOT_815,NC17-6440,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_816,NC21-6609,BLAZE
CU_2025_Ithaca_WOP_PLOT_817,NC21-6609,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_818,SA21,BLAZE
CU_2025_Ithaca_WOP_PLOT_819,GERARD224,BLAZE
CU_2025_Ithaca_WOP_PLOT_820,GERARD224,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_821,NF12AS-91-4_1,BLAZE
CU_2025_Ithaca_WOP_PLOT_822,NF12AS-91-4_1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_823,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_824,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_825,NC21-6497,BLAZE
CU_2025_Ithaca_WOP_PLOT_826,NC21-6497,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_827,NF99401_1-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_828,NF99401_1-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_829,LA17129SBSS-8-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_830,LA17129SBSS-8-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_831,PI365615,BLAZE
CU_2025_Ithaca_WOP_PLOT_832,CAV3163,BLAZE
CU_2025_Ithaca_WOP_PLOT_833,NC20-4402,BLAZE
CU_2025_Ithaca_WOP_PLOT_834,NC20-4402,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_835,NC20-4526,BLAZE
CU_2025_Ithaca_WOP_PLOT_836,NC20-4526,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_837,NC20-4551,BLAZE
CU_2025_Ithaca_WOP_PLOT_838,NC20-4551,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_839,NF13-4124-4_3,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_840,NF13-4124-4_3,BLAZE
CU_2025_Ithaca_WOP_PLOT_841,AURORA,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_842,AURORA,BLAZE
