"trial_name","breeding_program","location","year","design_type","description","trial_type","plot_width","plot_length","field_size","planting_date","harvest_date","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","range_number","row_number","col_number","seedlot_name","num_seed_per_plot","weight_gram_seed_per_plot","entry_number","is_private","Blaze"
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_101","NC20-4526",101,1,"","","",1,1,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_102","NC20-4526",102,1,"","","",1,2,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_103","NC21-6610",103,1,"","","",1,3,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_104","NC21-6610",104,1,"","","",1,4,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_105","PI365619",105,1,"","","",1,5,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_106","OZARK|POGI",106,1,"","","",1,6,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_107","OZARK|POGI",107,1,"","","",1,7,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_108","Gerard 227",108,1,"","","",1,8,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_109","Gerard 227",109,1,"","","",1,9,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_110","NC21-6492",110,1,"","","",1,10,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_111","NC21-6492",111,1,"","","",1,11,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_112","AVE265_59",112,1,"","","",1,12,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_113","NF99414-1",113,1,"","","",2,12,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_114","NF99414-1",114,1,"","","",2,11,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_115","NO_OATS_PLANTED",115,1,"","","",2,10,"","","","","","1"
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_116","NO_OATS_PLANTED",116,1,"","","",2,9,"","","","","","1"
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_117","NC20-4702",117,1,"","","",2,8,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_118","NC20-4702",118,1,"","","",2,7,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_119","CAV2980",119,1,"","","",2,6,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_120","FLLA17069-54",120,1,"","","",2,5,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_121","FLLA17069-54",121,1,"","","",2,4,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_122","OKAY",122,1,"","","",2,3,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_123","OKAY",123,1,"","","",2,2,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_124","SCLA17031SBSS-4-1",124,1,"","","",2,1,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_125","SCLA17031SBSS-4-1",125,1,"","","",3,1,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_126","GERARD224",126,1,"","","",3,2,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_127","GERARD224",127,1,"","","",3,3,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_128","NF12AS-100-4_2",128,1,"","","",3,4,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_129","NF12AS-100-4_2",129,1,"","","",3,5,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_130","TX18OCS9125",130,1,"","","",3,6,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_131","TX18OCS9125",131,1,"","","",3,7,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_132","NC21-6511",132,1,"","","",3,8,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_133","NC21-6511",133,1,"","","",3,9,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_134","TX18OCS9104",134,1,"","","",3,10,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_135","TX18OCS9104",135,1,"","","",3,11,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_136","NF18",136,1,"","","",3,12,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_137","NF18",137,1,"","","",4,12,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_138","TX18OCS9100",138,1,"","","",4,11,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_139","TX18OCS9100",139,1,"","","",4,10,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_140","KARCAGI",140,1,"","","",4,9,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_141","NC20-4551",141,1,"","","",4,8,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_142","NC20-4551",142,1,"","","",4,7,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_201","OZARK|POGI",201,2,"","","",4,6,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_202","OZARK|POGI",202,2,"","","",4,5,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_203","NF99401_1-1",203,2,"","","",4,4,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_204","NF99401_1-1",204,2,"","","",4,3,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_205","LA17089SBS-45-1-1",205,2,"","","",4,2,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_206","LA17089SBS-45-1-1",206,2,"","","",4,1,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_207","SA21",207,2,"","","",5,1,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_208","PI365616",208,2,"","","",5,2,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_209","NF12AS-73-4_3",209,2,"","","",5,3,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_210","NF12AS-73-4_3",210,2,"","","",5,4,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_211","NF13-4124-4_3",211,2,"","","",5,5,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_212","NF13-4124-4_3",212,2,"","","",5,6,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_213","NC21-6576",213,2,"","","",5,7,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_214","NC21-6576",214,2,"","","",5,8,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_215","NC20-4795",215,2,"","","",5,9,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_216","NC20-4795",216,2,"","","",5,10,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_217","NO_OATS_PLANTED",217,2,"","","",5,11,"","","","","","1"
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_218","NO_OATS_PLANTED",218,2,"","","",5,12,"","","","","","1"
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_219","TX19CAS0058",219,2,"","","",6,12,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_220","TX19CAS0058",220,2,"","","",6,11,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_221","AVE265_59",221,2,"","","",6,10,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_222","NC21-6429",222,2,"","","",6,9,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_223","NC21-6429",223,2,"","","",6,8,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_224","LA17153SBSS-55-1",224,2,"","","",6,7,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_225","LA17153SBSS-55-1",225,2,"","","",6,6,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_226","NF13-4173-4_4",226,2,"","","",6,5,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_227","NF13-4173-4_4",227,2,"","","",6,4,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_228","NF13-4214-4_5",228,2,"","","",6,3,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_229","NF13-4214-4_5",229,2,"","","",6,2,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_230","NF12AS-108-4_4",230,2,"","","",6,1,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_231","NF12AS-108-4_4",231,2,"","","",7,1,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_232","NORA",232,2,"","","",7,2,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_233","NORA",233,2,"","","",7,3,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_234","BLACK_MESDAG|PI93284",234,2,"","","",7,4,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_235","NF13-4173-4_5",235,2,"","","",7,5,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_236","NF13-4173-4_5",236,2,"","","",7,6,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_237","FLLA17069-54",237,2,"","","",7,7,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_238","FLLA17069-54",238,2,"","","",7,8,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_239","NF502_5",239,2,"","","",7,9,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_240","NF502_5",240,2,"","","",7,10,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_241","NF12AS-107-4_2-1",241,2,"","","",7,11,"","","","","",""
